99929,2631144
99928,2631064
99926,2630906
99925,2630829
99923,2630754
99921,2630597
99919,2630518
99918,2630437
99903,2630356
99901,2630283
99850,2630205
99835,2629877
99833,2629796
99832,2629720
99830,2629646
99829,2629563
99825,2629346
99824,2629269
99811,2628954
99803,2628875
99802,2628799
99789,2628506
99786,2628359
99785,2628288
99784,2628218
99782,2628087
99781,2628006
99777,2627789
99776,2627700
99775,2627622
99774,2627535
99772,2627396
99767,2627041
99766,2626971
99764,2626812
99757,2626311
99755,2626153
99753,2626011
99752,2625938
99751,2625869
99748,2625658
99746,2625512
99745,2625440
99743,2625319
99742,2625254
99738,2624953
99736,2624788
99732,2624559
99730,2624391
99727,2624257
99726,2624178
99723,2623960
99722,2623880
99720,2623731
99714,2623580
99712,2623503
99711,2623419
99710,2623343
99709,2623265
99706,2623033
99704,2622889
99702,2622725
99701,2622648
99697,2622583
99694,2622417
99693,2622341
99690,2622114
99689,2622039
99688,2621959
99687,2621871
99684,2621661
99681,2621427
99679,2621276
99674,2620889
99672,2620818
99671,2620753
99670,2620682
99669,2620609
99666,2620378
99664,2620234
99661,2620025
99660,2619940
99659,2619862
99658,2619795
99656,2619648
99654,2619492
99650,2619182
99647,2618953
99643,2618727
99641,2618650
99640,2618574
99639,2618502
99636,2618268
99635,2618198
99634,2618123
99631,2617912
99630,2617831
99629,2617751
99628,2617679
99627,2617605
99626,2617527
99624,2617383
99623,2617295
99622,2617216
99621,2617140
99615,2616945
99612,2616726
99610,2616587
99609,2616512
99606,2616292
99605,2616225
99604,2616160
99602,2616014
99599,2615935
99589,2615688
99583,2615326
99581,2615257
99579,2615117
99578,2615048
99577,2614966
99576,2614893
99575,2614813
99573,2614653
99572,2614575
99569,2614430
99568,2614357
99565,2614123
99564,2614048
99561,2613913
99559,2613841
99558,2613763
99557,2613692
99555,2613543
99553,2613411
99548,2613031
99547,2612960
99545,2612815
99523,2612416
99522,2612336
99521,2612257
99520,2612171
99519,2612091
99518,2612011
99516,2611853
99515,2611773
99513,2611606
99511,2611526
99509,2611367
99503,2610900
99502,2610822
99403,2610673
99402,2610614
99371,2610491
99363,2610423
99361,2610284
99356,2610015
99350,2609764
99349,2609704
99343,2609320
99341,2609264
99338,2609203
99329,2608815
99326,2608689
99322,2608474
99321,2608413
99320,2608348
99302,2608288
99256,2608034
99252,2607971
99228,2607848
99223,2607724
99218,2607528
99540,2612733
99215,2607343
99212,2607158
99211,2607088
99210,2607026
99207,2606842
99206,2606779
99185,2606400
99176,2606151
99174,2606082
99173,2606017
99169,2605830
99167,2605770
99163,2605575
99161,2605513
99160,2605455
99156,2605198
99153,2604990
99151,2604859
99150,2604803
99149,2604742
99148,2604678
99147,2604615
99144,2604484
99141,2604354
99139,2604233
99134,2603914
99133,2603849
99128,2603595
99125,2603465
99122,2603268
99121,2603209
99119,2603143
99118,2603084
99117,2603013
99115,2602883
99114,2602820
99113,2602759
99111,2602701
99110,2602639
99107,2602510
99105,2602452
99103,2602328
99102,2602268
99039,2602083
99033,2601825
99032,2601763
99026,2601429
99025,2601364
99023,2601303
99022,2601238
99019,2601047
99016,2600853
99013,2600727
99012,2600663
99011,2600583
99009,2600525
99008,2600456
99006,2600391
99003,2600204
99001,2600135
98953,2600075
98951,2599941
98950,2599877
98948,2599814
98947,2599752
98946,2599690
98944,2599627
98942,2599495
98940,2599363
98939,2599304
98938,2599243
98937,2599183
98936,2599124
98930,2598809
98926,2598743
98925,2598682
98923,2598620
98922,2598556
98909,2598364
98904,2598183
98902,2598063
98860,2597865
98858,2597736
98857,2597678
98856,2597618
98855,2597554
98853,2597493
98852,2597431
98850,2597297
98849,2597232
