99923,2589821
99903,2589429
99841,2589193
99836,2589032
99833,2588875
99830,2588725
99826,2588511
99824,2588355
99803,2587968
99802,2587892
99790,2587672
99789,2587605
99778,2586968
99776,2586807
99775,2586729
99773,2586576
99772,2586509
99766,2586091
99765,2586019
99764,2585932
99762,2585800
99757,2585438
99756,2585354
99755,2585280
99753,2585145
99750,2584931
99749,2584863
99748,2584792
99743,2584460
99741,2584322
99740,2584245
99738,2584102
99733,2583794
99732,2583708
99726,2583333
99724,2583188
99721,2582968
99720,2582893
99716,2582815
99709,2582434
99704,2582064
99697,2581758
99695,2581679
99693,2581523
99691,2581371
99690,2581296
99684,2580850
99683,2580763
99682,2580694
99676,2580245
99672,2580020
99671,2579955
99666,2579587
99661,2579234
99659,2579078
99657,2578939
99653,2578629
99652,2578549
99644,2578028
99643,2577956
99640,2577803
99639,2577731
99638,2577656
99636,2577504
99634,2577359
99633,2577293
99632,2577221
99631,2577148
99630,2577074
99628,2576922
99627,2576848
99622,2576466
99621,2576390
99620,2576327
99619,2576262
99613,2576054
99605,2575489
99588,2574882
99587,2574803
99586,2574732
99581,2574535
99578,2574326
99575,2574091
99571,2573790
99568,2573642
99564,2573339
99561,2573204
99552,2572638
99550,2572492
99549,2572415
99547,2572266
99546,2572197
99523,2571728
99522,2571648
99521,2571569
99520,2571490
99519,2571410
99518,2571330
99517,2571250
99513,2570931
99511,2570851
99510,2570771
99508,2570613
99506,2570459
99504,2570308
99503,2570231
99402,2569952
99401,2569891
99371,2569829
99361,2569622
99344,2568735
99335,2568365
99328,2568114
99322,2567844
99320,2567718
99302,2567658
99301,2567597
99258,2567473
99251,2567287
99228,2567226
99224,2567164
99217,2566853
99216,2566791
99213,2566606
99210,2566420
99205,2566111
99180,2565680
99179,2565616
99174,2565492
99173,2565427
99169,2565240
99166,2565118
99156,2564616
99155,2564552
99147,2564041
99146,2563980
99143,2563855
99140,2563730
99139,2563667
99138,2563604
99136,2563484
99134,2563356
99133,2563291
99131,2563229
99130,2563167
99125,2562915
99124,2562849
99123,2562783
99122,2562718
99117,2562471
99113,2562217
99111,2562159
99109,2562034
99102,2561734
99039,2561549
99037,2561486
99032,2561237
99031,2561174
99030,2561110
99029,2561048
99026,2560911
99025,2560846
99018,2560469
99012,2560153
99008,2559954
99006,2559889
99563,2573279
99005,2559827
99921,2589670
99004,2559766
98952,2559508
98951,2559447
98950,2559383
98948,2559320
