4,"Zip
Code","Place
Name",State,County,Lat,Long,RandomColumn
1128,Springfield,MA,Hampden,42.0944,-72.4889,0.6074491549314753
1129,Springfield,MA,Hampden,42.1223,-72.4876,0.32007221399327124
1138,Springfield,MA,Hampden,42.1707,-72.6048,0.8457696345762632
1139,Springfield,MA,Hampden,42.1707,-72.6048,0.5452596219944182
1144,Springfield,MA,Hampden,42.1018,-72.5915,0.0800261498419953
1151,Indian Orchard,MA,Hampden,42.1532,-72.505,0.6668376895892135
1152,Springfield,MA,Hampden,42.1707,-72.6048,0.18090828007827264
1199,Springfield,MA,Hampden,42.1199,-72.605,0.008461219566217593
1201,Pittsfield,MA,Berkshire,42.4531,-73.2471,0.3375327817103454
1202,Pittsfield,MA,Berkshire,42.3929,-73.2285,0.5740735821690194
1203,Pittsfield,MA,Berkshire,42.3929,-73.2285,0.2394923474735724
1220,Adams,MA,Berkshire,42.6223,-73.1172,0.01509179690764717
1222,Ashley Falls,MA,Berkshire,42.0596,-73.3202,0.09066849669942456
1223,Becket,MA,Berkshire,42.3594,-73.1203,0.7189633439443939
1224,Berkshire,MA,Berkshire,42.5126,-73.1929,0.11218183603526655
1225,Cheshire,MA,Berkshire,42.5611,-73.158,0.365057908826415
1226,Dalton,MA,Berkshire,42.475,-73.1603,0.23161292247173582
1227,Dalton,MA,Berkshire,42.4737,-73.1662,0.15268091854818178
1229,Glendale,MA,Berkshire,42.2793,-73.3435,0.4628125999107544
1230,Great Barrington,MA,Berkshire,42.1959,-73.3607,0.805237866180536
1235,Hinsdale,MA,Berkshire,42.4298,-73.0724,0.29402943459973674
1236,Housatonic,MA,Berkshire,42.2653,-73.3745,0.4646335259970139
1237,Lanesborough,MA,Berkshire,42.5173,-73.2282,0.5841384981058324
1238,Lee,MA,Berkshire,42.299,-73.2317,0.04950731978334677
1240,Lenox,MA,Berkshire,42.3642,-73.2713,0.5502529767300061
1242,Lenox Dale,MA,Berkshire,42.3386,-73.2509,0.6323951604463197
1243,Middlefield,MA,Hampshire,42.3561,-73.0104,0.5719080896876605
1244,Mill River,MA,Berkshire,42.1228,-73.254,0.29892063228674526
1245,Monterey,MA,Berkshire,42.1867,-73.2065,0.8686854782676909
1247,North Adams,MA,Berkshire,42.6955,-73.08,0.0037273729049815962
1252,North Egremont,MA,Berkshire,42.1986,-73.4462,0.035294439845861225
1253,Otis,MA,Berkshire,42.1931,-73.0918,0.6714924049812394
1254,Richmond,MA,Berkshire,42.3784,-73.3645,0.4669193223796334
1255,Sandisfield,MA,Berkshire,42.1094,-73.1163,0.7269816892060436
1256,Savoy,MA,Berkshire,42.577,-73.0233,0.035998160169451454
1257,Sheffield,MA,Berkshire,42.1001,-73.3611,0.45329298445516475
1258,South Egremont,MA,Berkshire,42.1012,-73.4566,0.422891921099089
1259,Southfield,MA,Berkshire,42.078,-73.2609,0.43854097370245837
1260,South Lee,MA,Berkshire,42.2779,-73.2773,0.20579887727488289
1262,Stockbridge,MA,Berkshire,42.301,-73.3223,0.3407607438835796
1263,Stockbridge,MA,Berkshire,42.3929,-73.2285,0.7391872776189625
1264,Tyringham,MA,Berkshire,42.22,-73.1979,0.8290627308649202
1266,West Stockbridge,MA,Berkshire,42.3348,-73.3825,0.9857286486698139
1267,Williamstown,MA,Berkshire,42.7089,-73.2036,0.20528884284868198
1270,Windsor,MA,Berkshire,42.515,-73.0412,0.8898349830378179
1301,Greenfield,MA,Franklin,42.6013,-72.6236,0.9317445158334003
1302,Greenfield,MA,Franklin,42.5222,-72.6242,0.6071638113362781
1330,Ashfield,MA,Franklin,42.5232,-72.811,0.32398222528780074
1331,Athol,MA,Worcester,42.5959,-72.2267,0.08431725361886544
1337,Bernardston,MA,Franklin,42.6952,-72.5772,0.5820192812896756
1338,Buckland,MA,Franklin,42.5736,-72.8213,0.11742935794411358
1339,Charlemont,MA,Franklin,42.608,-72.8901,0.7232381538186676
1340,Colrain,MA,Franklin,42.679,-72.7265,0.7913053337974953
1341,Conway,MA,Franklin,42.5138,-72.7025,0.5390391209565715
1342,Deerfield,MA,Franklin,42.5406,-72.6072,0.6096801249827621
1343,Drury,MA,Berkshire,42.6427,-72.9862,0.7181174279001014
1344,Erving,MA,Franklin,42.6076,-72.4292,0.29044237927452266
1346,Heath,MA,Franklin,42.6853,-72.8391,0.29843572623671644
1347,Lake Pleasant,MA,Franklin,42.5566,-72.5181,0.8759275322098733
1349,Millers Falls,MA,Franklin,42.582,-72.4926,0.06244154481572961
1350,Monroe Bridge,MA,Franklin,42.7215,-72.9762,0.49783409912838894
1351,Montague,MA,Franklin,42.5429,-72.5328,0.9092502196170672
1354,Gill,MA,Franklin,42.6404,-72.4995,0.16770000470301727
1355,New Salem,MA,Franklin,42.5146,-72.3062,0.5337606684943689
1360,Northfield,MA,Franklin,42.6887,-72.451,0.8254512631086706
1364,Orange,MA,Franklin,42.6129,-72.2924,0.14874668904504673
1366,Petersham,MA,Worcester,42.4898,-72.1893,0.5401078795265569
1367,Rowe,MA,Franklin,42.6953,-72.9258,0.6950147685815024
1368,Royalston,MA,Worcester,42.6722,-72.1964,0.8343317040326957
1370,Shelburne Falls,MA,Franklin,42.6022,-72.7391,0.8957259844845998
1373,South Deerfield,MA,Franklin,42.4756,-72.6153,0.6536747625966894
1375,Sunderland,MA,Franklin,42.4539,-72.5676,0.22073724832835528
1376,Turners Falls,MA,Franklin,42.5954,-72.5557,0.19157817088317264
1378,Warwick,MA,Franklin,42.6671,-72.3397,0.20543942823781536
1379,Wendell,MA,Franklin,42.5656,-72.4009,0.08131286209730104
1380,Wendell Depot,MA,Franklin,42.5534,-72.3927,0.918220757728837
1420,Fitchburg,MA,Worcester,42.5796,-71.8031,0.11741406829694478
1430,Ashburnham,MA,Worcester,42.6496,-71.9267,0.4203254067513502
1431,Ashby,MA,Middlesex,42.6745,-71.8174,0.21389617452599263
1432,Ayer,MA,Middlesex,42.5591,-71.5788,0.8029248653697802
1434,Devens,MA,Worcester,42.5385,-71.6115,0.7606297512434896
1436,Baldwinville,MA,Worcester,42.5936,-72.0646,0.7157401525109895
1438,East Templeton,MA,Worcester,42.5631,-72.037,0.41985979279561314
1440,Gardner,MA,Worcester,42.574,-71.9898,0.3387109533510002
1441,Westminster,MA,Worcester,42.5459,-71.9106,0.1990900310359659
1450,Groton,MA,Middlesex,42.6124,-71.5584,0.8075034862196337
1451,Harvard,MA,Worcester,42.4986,-71.5753,0.9120862435149466
1452,Hubbardston,MA,Worcester,42.4865,-72.0012,0.2095575247829925
1453,Leominster,MA,Worcester,42.5274,-71.7563,0.21766583056103117
1460,Littleton,MA,Middlesex,42.5401,-71.4877,0.6708787839303226
